您好播主，想了解出工打工情况，	这块 我们不是很了解
你好小弟兄，谢谢回复，代向你父母问好，不知你几时回美，很想与你结伴，我想去美打工赚钱，旅游签或工签哪个更合适，好不好过？ 您好！看了你的微视频介绍家庭厨房，我想请问下怎么注册？你是否能告知我？谢谢	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
谢谢 你好，请问美本在美实习，你们能够提供相关帮助或者服务吗？	您好您好 能简单介绍一下孩子的情况么
请问人在国内，可以找美国的工作吗？	请问咱们有美国的身份么
没有 这样是不是完全没希望了？	考虑在这边读个书么
我女儿美本会计专业，请您推荐相关实习	目前大几啦
大三，已收到2025暑期四大的实习offer。计划本硕连读，26年毕业。请您推荐今年的远程实习，因为申研要求暑期也安排课了谢谢	我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
Gary，你好！我女儿在美国读了本科和硕士研究生，专业是中文和对外英语教学，本科和研究生毕业后分别在美国的私立和公立学校实习一年，去年没抽中工作签只有回国。回国后她很抵制进体制内工作，其他的也各种不适应，还是想出去，但苦于身份的问题很彷徨。对于她这种情况，你能给她一些建议吗？万分感谢	如果想要回来 可能只有继续上学转身份这条路会容易些，要不就是开始准备绿卡
谢谢Gary，她也在试图走继续上学转身份这条路，但抽工签这件事完全靠运气。准备绿卡是怎样的一条路？希望得到你的指导。万分感谢	我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
您好！我外甥抽中了h1b。请问一下办理流程！谢谢您	恭喜呀！ 孩子正在美国公司就职吧？ 那应该会有律师帮助咱们协助办理的呀 孩子只需要根据律师要求提供的文件去提供就好了
就担心律师万一搞错了可就麻烦了 人家办那么多的文件	不会的哈 他们都很专业的 这些不需要担心
怎么进群？	您好您好 感谢您的支持 我们这边还在筹备微信群的建立 后续事宜请关注我的视频哈~
UCD大二生物系统工程专业在美国好找工作吗？读研要转专业吗	最近医药行业也不太景气
您好！我女儿5月维克森林大学商业分析专业毕业，想请您帮忙找工作	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
你好，我现在密息根州为带孙女，国内己退休′，如何在美国拿到工作签证，我微信565618548，请加我V聊	您目前是旅游签证么
您好，我7月初去硅谷，我在国内是小学老师，请问您有短期（暑期）工作推荐吗？薪资差不多就行。	请问有美国的合法工作许可么
Gary老师好	您还您好
Gary老师好，直播咱们连线了，孩子数据分析研究生毕业，希望能帮助推荐工作，现在在马里兰州 请问能否加您微信？孩子在美想找工作，同意付费	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
如何咨询	请问具体需要咨询什么问题呀
Gary xie你好！我是厦门，你的福建老乡，我小孩在美读研，以后有很多需要你帮忙，能加我微信jyp9990   能加我进相亲群	相亲请期待周四的直播哈哈
美本大三，印第安纳州，经济学，申研哪个专业利于就业？	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
Gary老师您好 我想跟您这边咨询一下美国找工作的事情。刚才在直播里我听到您可以推荐一些美国的就业机会。所以想跟您这边咨询一下这方面的服务。	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
你好Gary，我叫卿烨宇，目前是美国宾夕法尼亚大学研二的学生。我的专业是系统工程，方向是数据科学。这几年da/ds的工作很难找，我现在也在转变一些思路。上次看到你说的中资公司出海招人，我觉得是一个很好的建议与思路，不知能不能把简历发给你，然后合作一下，有合适的岗位就考虑推给我，增加一下我的机会。谢谢！	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
您好！孩子现在美国留学，下学期要到圣路易斯华盛顿上学，现在被工程管理录取，本来想着过去上学后再努力往数据科学专业转移呢？听了您的视频后有点纠结，想和您建立起联系！还要向您请教！	您好您好 我说的只是大环境哈 如果孩子真的非常出色 还是有对应的岗位的 只是竞争非常激烈罢了
老师好，想请教一下，化学工程的博士，在美国找工作大约年薪会在什么水平呢？大约…谢谢啦！	还是要看进到什么公司吧 进美国老牌企业可能会高一些
您好！我儿子是西安交大机械电子工程本硕，北卡教堂山生物医学工程专业硕士，今年年底毕业，能给我孩子找一个实习或工作吗？	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
能加我微信吗？18507602399	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
